block_group,site_id,DestinationRank,TravelTime,Miles,Kilometers
1,1,14,21.77908752,7.120064957,11.45618452
1,2,12,26.7714378,6.972417976,11.21862052
1,3,23,27.9737325,9.660235317,15.54331863
1,4,1,8.968478664,3.010404795,4.843741315
1,5,7,19.79301351,5.447165428,8.764489174
1,6,11,18.65918124,6.827665511,10.98571381
1,7,2,15.02284619,4.073706401,6.554593599
1,8,10,19.52708391,6.82152826,10.97583897
1,9,37,35.26550289,15.20013717,24.45702071
1,10,29,29.40770625,13.0291,20.96382189
1,11,46,35.37276825,20.82385211,33.50557805
1,12,26,30.12349831,11.75493437,18.9136894
1,13,33,29.64386016,14.41614227,23.19557292
1,14,44,37.8157587,18.01400407,28.98453254
1,15,25,23.46855479,11.34065618,18.2471158
1,16,34,25.57450674,14.46036251,23.26672327
1,17,31,28.11473551,13.42190789,21.5958498
1,18,47,40.48601931,21.85403162,35.16313688
1,19,5,15.67064563,4.975835315,8.006119022
1,20,35,34.77656546,14.47510489,23.29044377
1,21,21,23.31364139,8.629094018,13.88421227
1,22,41,35.74046162,16.61323347,26.73069265
1,23,9,17.60163362,5.909522852,9.508422269
1,24,32,26.61684257,13.55472331,21.80954981
1,25,18,18.07628139,7.841532166,12.61702525
1,26,15,21.77908752,7.120064957,11.45618452
1,27,28,39.42364389,12.32758456,19.83508355
1,28,4,20.30533556,4.642875565,7.470386784
1,29,45,39.19778526,20.15080478,32.42264489
1,30,6,22.48423701,5.273900836,8.485706445
1,31,3,12.68512571,4.422012368,7.1150179
1,32,43,35.92937012,17.33170941,27.88672045
1,33,36,32.25217637,15.15100155,24.37796149
1,34,30,24.31903973,13.16610011,21.18425508
1,35,17,21.77560039,7.222962763,11.62174709
1,36,40,42.85740714,16.59034162,26.69385966
1,37,39,41.7509625,16.35457658,26.31451371
1,38,27,29.86140909,11.8824246,19.11882117
1,39,42,33.67348124,17.06461577,27.45696678
1,40,16,19.80767087,7.135372827,11.48081488
1,41,8,15.54143448,5.452285715,8.772727715
1,42,24,27.15731874,11.04438318,17.77041254
1,43,22,26.65518208,9.62316709,15.48367585
1,44,38,33.05011504,15.71766702,25.28972624
1,45,20,23.94409783,8.622106643,13.87296959
1,46,13,25.67435682,7.03830559,11.32463369
1,47,19,15.69256858,8.309050329,13.36926198
2,1,15,24.68673002,7.164949069,11.52840305
2,2,11,26.55988264,6.909107377,11.11675377
2,3,23,27.44400254,9.571166326,15.40000662
2,4,1,8.438748706,2.921335804,4.700429308
2,5,7,19.58145835,5.38385483,8.662622422
2,6,17,17.08789695,7.226125837,11.62683647
2,7,2,14.81129104,4.010395803,6.452726846
2,8,13,23.23381252,7.031647399,11.31392067
2,9,36,34.73577293,15.11106818,24.3137087
2,10,30,32.31534874,13.07398411,21.03604043
2,11,46,33.63063526,20.59631794,33.13947556
2,12,26,29.91194316,11.69162377,18.81182265
2,13,33,29.43230501,14.35283168,23.09370617
2,14,44,37.28602874,17.92493508,28.84122054
2,15,25,21.7264218,11.11312201,17.88101331
2,16,34,25.36295158,14.39705191,23.16485652
2,17,31,26.37260252,13.19437372,21.22974731
2,18,47,38.74388632,21.62649745,34.79703439
2,19,5,15.14091567,4.886766324,7.862807015
2,20,35,34.5650103,14.41179429,23.18857702
2,21,21,27.02037,8.839213157,14.22229397
2,22,41,38.64810412,16.65811758,26.80291119
2,23,9,17.07190366,5.820453861,9.365110262
2,24,32,24.87470958,13.32718914,21.44344732
2,25,18,16.3341484,7.613997991,12.25092277
2,26,16,24.68673002,7.164949069,11.52840305
2,27,28,38.27089776,12.02020048,19.34050257
