bg_id,census_geo_id,statefp,countyfp,tractce,blkgrpce,latitude,longitude,population,num_hhs,hh_no_car,hh_car,flood,anthrax,global,bg,pod,GEOID_num
1,1500000US420030103001,42,3,10300,1,40.434602,-79.993347,2510,0,0,0,0,1,1,1,5,420030103001
2,1500000US420030103002,42,3,10300,2,40.43613,-79.990873,3412,0,0,0,0,1,1,2,5,420030103002
3,1500000US420030103003,42,3,10300,3,40.437007,-79.982553,347,141,39,102,0,0.9,1,3,30,420030103003
4,1500000US420030103004,42,3,10300,4,40.437364,-79.977217,399,179,58,121,0,0.7,1,4,30,420030103004
5,1500000US420030201001,42,3,20100,1,40.438538,-80.001596,1717,347,47,300,0,1,1,5,1,420030201001
6,1500000US420030201002,42,3,20100,2,40.44287,-80.002927,1345,1022,501,521,0,1,1,6,1,420030201002
7,1500000US420030201003,42,3,20100,3,40.440813,-79.999444,532,274,38,236,0,1,1,7,1,420030201003
8,1500000US420030201004,42,3,20100,4,40.439816,-79.989261,873,484,160,324,0,1,1,8,30,420030201004
9,1500000US420030201005,42,3,20100,5,40.43896,-79.997463,14,14,0,14,0,1,1,9,1,420030201005
10,1500000US420030201006,42,3,20100,6,40.444266,-79.994717,620,373,59,314,0,1,1,10,1,420030201006
11,1500000US420030203001,42,3,20300,1,40.456547,-79.978868,1020,712,74,638,0,0.6,1,11,30,420030203001
12,1500000US420030305001,42,3,30500,1,40.444363,-79.985274,1330,657,270,387,0,1,1,12,5,420030305001
13,1500000US420030305002,42,3,30500,2,40.440627,-79.982027,919,482,200,282,0,0.9,1,13,5,420030305002
14,1500000US420030402001,42,3,40200,1,40.439303,-79.969195,771,504,208,296,0,0.4,1,14,30,420030402001
15,1500000US420030402002,42,3,40200,2,40.441134,-79.962242,932,127,46,81,0,0,1,15,5,420030402002
16,1500000US420030404001,42,3,40400,1,40.446303,-79.948263,438,280,172,108,0,0,1,16,30,420030404001
17,1500000US420030404002,42,3,40400,2,40.448099,-79.950516,1540,913,334,579,0,0,1,17,30,420030404002
18,1500000US420030405001,42,3,40500,1,40.439808,-79.95479,1671,473,180,293,0,0,1,18,5,420030405001
19,1500000US420030405002,42,3,40500,2,40.43814,-79.957502,1706,684,256,428,0,0,1,19,5,420030405002
20,1500000US420030406001,42,3,40600,1,40.436736,-79.953256,2121,918,295,623,0,0,1,20,30,420030406001
21,1500000US420030409001,42,3,40900,1,40.434772,-79.96168,1052,454,128,326,0,0,1,21,5,420030409001
22,1500000US420030409002,42,3,40900,2,40.432131,-79.955212,1422,587,182,405,0,0,1,22,5,420030409002
23,1500000US420030409003,42,3,40900,3,40.431011,-79.952697,932,358,38,320,0,0,1,23,30,420030409003
24,1500000US420030501001,42,3,50100,1,40.450309,-79.967743,446,229,90,139,0,0,1,24,30,420030501001
25,1500000US420030501002,42,3,50100,2,40.447127,-79.971546,421,270,146,124,0,0.5,1,25,30,420030501002
26,1500000US420030501003,42,3,50100,3,40.445796,-79.978626,1119,506,269,237,0,0.8,1,26,30,420030501003
27,1500000US420030506001,42,3,50600,1,40.454953,-79.960258,1116,418,167,251,0,0,1,27,30,420030506001
28,1500000US420030506002,42,3,50600,2,40.452171,-79.960808,235,146,42,104,0,0,1,28,30,420030506002
29,1500000US420030506003,42,3,50600,3,40.451058,-79.958423,685,292,56,236,0,0,1,29,30,420030506003
30,1500000US420030509001,42,3,50900,1,40.450887,-79.973709,1292,816,650,166,0,0.6,1,30,30,420030509001
31,1500000US420030510001,42,3,51000,1,40.44109,-79.969868,858,502,247,255,0,0.5,1,31,5,420030510001
32,1500000US420030510002,42,3,51000,2,40.446673,-79.964214,1285,251,127,124,0,0,1,32,30,420030510002
33,1500000US420030511001,42,3,51100,1,40.44169,-79.976398,170,70,63,7,0,0.7,1,33,30,420030511001
34,1500000US420030603001,42,3,60300,1,40.463287,-79.960484,1187,594,164,430,0,0,1,34,30,420030603001
35,1500000US420030603002,42,3,60300,2,40.465037,-79.964681,1046,599,137,462,0,0,1,35,30,420030603002
36,1500000US420030605001,42,3,60500,1,40.457151,-79.967232,749,401,98,303,0,0.3,1,36,30,420030605001
37,1500000US420030605002,42,3,60500,2,40.458458,-79.961872,588,312,47,265,0,0,1,37,30,420030605002
38,1500000US420030703001,42,3,70300,1,40.452758,-79.933528,783,454,32,422,0,0,1,38,30,420030703001
39,1500000US420030703002,42,3,70300,2,40.450131,-79.932128,744,361,97,264,0,0,1,39,30,420030703002
40,1500000US420030703003,42,3,70300,3,40.450238,-79.936855,635,302,17,285,0,0,1,40,30,420030703003
41,1500000US420030705001,42,3,70500,1,40.454997,-79.927451,1351,746,119,627,0,0,1,41,30,420030705001
42,1500000US420030705002,42,3,70500,2,40.454,-79.930881,910,463,54,409,0,0,1,42,30,420030705002
43,1500000US420030705003,42,3,70500,3,40.457119,-79.929664,858,495,116,379,0,0,1,43,30,420030705003
44,1500000US420030706001,42,3,70600,1,40.454564,-79.923751,851,537,89,448,0,0,1,44,30,420030706001
45,1500000US420030706002,42,3,70600,2,40.452112,-79.927159,1148,725,267,458,0,0,1,45,30,420030706002
46,1500000US420030708001,42,3,70800,1,40.457784,-79.921736,1082,658,116,542,0,0,1,46,30,420030708001
47,1500000US420030708002,42,3,70800,2,40.45508,-79.92059,1296,732,91,641,0,0,1,47,30,420030708002
48,1500000US420030709001,42,3,70900,1,40.454569,-79.936736,1680,1076,305,771,0,0,1,48,30,420030709001
49,1500000US420030709002,42,3,70900,2,40.45165,-79.94753,723,489,253,236,0,0,1,49,30,420030709002
50,1500000US420030709003,42,3,70900,3,40.448314,-79.944942,875,414,207,207,0,0,1,50,30,420030709003
51,1500000US420030709004,42,3,70900,4,40.45308,-79.943342,969,559,192,367,0,0,1,51,30,420030709004
52,1500000US420030802001,42,3,80200,1,40.45969,-79.950168,951,558,221,337,0,0,1,52,30,420030802001
53,1500000US420030802002,42,3,80200,2,40.461568,-79.952144,694,343,92,251,0,0,1,53,30,420030802002
54,1500000US420030804001,42,3,80400,1,40.458288,-79.945392,773,367,64,303,0,0,1,54,30,420030804001
55,1500000US420030804002,42,3,80400,2,40.455209,-79.947884,803,477,218,259,0,0,1,55,30,420030804002
56,1500000US420030806001,42,3,80600,1,40.461569,-79.939671,1478,731,92,639,0,0,1,56,30,420030806001
57,1500000US420030806002,42,3,80600,2,40.458579,-79.939604,658,386,62,324,0,0,1,57,30,420030806002
58,1500000US420030807001,42,3,80700,1,40.462717,-79.933198,928,522,176,346,0,0,1,58,30,420030807001
59,1500000US420030807002,42,3,80700,2,40.459106,-79.935055,855,578,135,443,0,0,1,59,30,420030807002
60,1500000US420030809001,42,3,80900,1,40.462943,-79.946516,1037,530,120,410,0,0,1,60,30,420030809001
61,1500000US420030809002,42,3,80900,2,40.463716,-79.942217,835,487,89,398,0,0,1,61,30,420030809002
62,1500000US420030901001,42,3,90100,1,40.473953,-79.95983,1365,799,142,657,0,0,1,62,30,420030901001
63,1500000US420030901002,42,3,90100,2,40.472118,-79.962675,465,261,77,184,0,0,1,63,30,420030901002
64,1500000US420030902001,42,3,90200,1,40.469546,-79.95913,963,462,66,396,0,0,1,64,30,420030902001
65,1500000US420030902002,42,3,90200,2,40.469356,-79.956117,1013,555,66,489,0,0,1,65,30,420030902002
66,1500000US420030902003,42,3,90200,3,40.466413,-79.957335,854,404,232,172,0,0,1,66,30,420030902003
67,1500000US420030903001,42,3,90300,1,40.464456,-79.950716,1164,605,172,433,0,0,1,67,30,420030903001
68,1500000US420030903002,42,3,90300,2,40.464331,-79.955726,640,303,58,245,0,0,1,68,30,420030903002
69,1500000US420031005001,42,3,100500,1,40.476746,-79.934806,640,349,65,284,0,0,1,69,30,420031005001
70,1500000US420031005002,42,3,100500,2,40.478578,-79.939693,1231,544,136,408,0,0,1,70,30,420031005002
71,1500000US420031011001,42,3,101100,1,40.479635,-79.951857,1516,748,98,650,0,0,1,71,30,420031011001
72,1500000US420031011002,42,3,101100,2,40.48072,-79.953232,498,250,10,240,0,0,1,72,30,420031011002
73,1500000US420031011003,42,3,101100,3,40.48114,-79.948504,691,245,29,216,0,0,1,73,30,420031011003
74,1500000US420031014001,42,3,101400,1,40.485793,-79.924795,1182,588,122,466,0,0,1,74,30,420031014001
75,1500000US420031014002,42,3,101400,2,40.484563,-79.9283,601,352,39,313,0,0,1,75,30,420031014002
76,1500000US420031014003,42,3,101400,3,40.474992,-79.929844,571,272,104,168,0,0,1,76,30,420031014003
77,1500000US420031014004,42,3,101400,4,40.479938,-79.930012,785,345,30,315,0,0,1,77,30,420031014004
78,1500000US420031016001,42,3,101600,1,40.470744,-79.938712,1159,407,100,307,0,0,1,78,30,420031016001
79,1500000US420031017001,42,3,101700,1,40.466105,-79.938107,654,325,105,220,0,0,1,79,30,420031017001
80,1500000US420031017002,42,3,101700,2,40.466638,-79.943648,832,347,41,306,0,0,1,80,30,420031017002
81,1500000US420031018001,42,3,101800,1,40.483398,-79.934434,1202,537,68,469,0,0,1,81,30,420031018001
82,1500000US420031018002,42,3,101800,2,40.48383,-79.939246,1277,642,41,601,0,0,1,82,30,420031018002
83,1500000US420031102001,42,3,110200,1,40.478218,-79.919819,912,569,18,551,0,0,1,83,30,420031102001
84,1500000US420031102002,42,3,110200,2,40.475691,-79.921304,735,359,42,317,0,0,1,84,30,420031102002
85,1500000US420031102003,42,3,110200,3,40.475397,-79.926455,949,476,79,397,0,0,1,85,30,420031102003
86,1500000US420031102004,42,3,110200,4,40.472577,-79.923123,1470,586,54,532,0,0,1,86,30,420031102004
87,1500000US420031106001,42,3,110600,1,40.471046,-79.913631,923,430,99,331,0,0,1,87,30,420031106001
88,1500000US420031106002,42,3,110600,2,40.474972,-79.916324,748,329,0,329,0,0,1,88,30,420031106002
89,1500000US420031106003,42,3,110600,3,40.470378,-79.918158,789,376,110,266,0,0,1,89,30,420031106003
90,1500000US420031113001,42,3,111300,1,40.47105,-79.929382,896,413,157,256,0,0,1,90,30,420031113001
91,1500000US420031113002,42,3,111300,2,40.46934,-79.924106,722,303,53,250,0,0,1,91,30,420031113002
92,1500000US420031113003,42,3,111300,3,40.468048,-79.92573,721,370,71,299,0,0,1,92,30,420031113003
93,1500000US420031113004,42,3,111300,4,40.467579,-79.919202,713,368,124,244,0,0,1,93,30,420031113004
94,1500000US420031114001,42,3,111400,1,40.467599,-79.930184,569,219,85,134,0,0,1,94,30,420031114001
95,1500000US420031114002,42,3,111400,2,40.46661,-79.933478,813,378,133,245,0,0,1,95,30,420031114002
96,1500000US420031115001,42,3,111500,1,40.465766,-79.926296,641,380,215,165,0,0,1,96,30,420031115001
97,1500000US420031115002,42,3,111500,2,40.461069,-79.930512,1404,852,351,501,0,0,1,97,30,420031115002
98,1500000US420031115003,42,3,111500,3,40.461534,-79.924987,574,376,187,189,0,0,1,98,30,420031115003
99,1500000US420031115004,42,3,111500,4,40.4621,-79.918756,388,215,114,101,0,0,1,99,30,420031115004
100,1500000US420031203001,42,3,120300,1,40.469057,-79.903317,1490,507,203,304,0,0,1,100,30,420031203001
101,1500000US420031203002,42,3,120300,2,40.466589,-79.900917,649,273,147,126,0,0,1,101,30,420031203002
102,1500000US420031204001,42,3,120400,1,40.462822,-79.909458,373,149,87,62,0,0,1,102,30,420031204001
103,1500000US420031204002,42,3,120400,2,40.465992,-79.911882,380,176,102,74,0,0,1,103,30,420031204002
104,1500000US420031207001,42,3,120700,1,40.460979,-79.902923,423,267,101,166,0,0,1,104,30,420031207001
105,1500000US420031207002,42,3,120700,2,40.457429,-79.903452,455,105,26,79,0,0,1,105,30,420031207002
106,1500000US420031208001,42,3,120800,1,40.464353,-79.915914,317,135,78,57,0,0,1,106,30,420031208001
107,1500000US420031208002,42,3,120800,2,40.460801,-79.909719,456,117,37,80,0,0,1,107,30,420031208002
108,1500000US420031301001,42,3,130100,1,40.458126,-79.884983,762,345,166,179,0,0,1,108,30,420031301001
109,1500000US420031301002,42,3,130100,2,40.461091,-79.892546,592,183,115,68,0,0,1,109,30,420031301002
110,1500000US420031301003,42,3,130100,3,40.461202,-79.898805,272,204,130,74,0,0,1,110,30,420031301003
111,1500000US420031302001,42,3,130200,1,40.458045,-79.891326,434,125,58,67,0,0,1,111,30,420031302001
112,1500000US420031302002,42,3,130200,2,40.459735,-79.895552,1058,374,132,242,0,0,1,112,30,420031302002
113,1500000US420031303001,42,3,130300,1,40.455181,-79.893879,217,150,81,69,0,0,1,113,30,420031303001
114,1500000US420031303002,42,3,130300,2,40.452914,-79.894512,472,191,100,91,0,0,1,114,30,420031303002
115,1500000US420031303003,42,3,130300,3,40.456433,-79.899584,461,307,188,119,0,0,1,115,30,420031303003
116,1500000US420031304001,42,3,130400,1,40.454262,-79.889144,212,94,36,58,0,0,1,116,30,420031304001
117,1500000US420031304002,42,3,130400,2,40.451113,-79.888816,343,144,70,74,0,0,1,117,30,420031304002
118,1500000US420031304003,42,3,130400,3,40.450014,-79.885946,430,169,80,89,0,0,1,118,30,420031304003
119,1500000US420031306001,42,3,130600,1,40.452365,-79.881553,802,272,123,149,0,0,1,119,30,420031306001
120,1500000US420031306002,42,3,130600,2,40.457119,-79.875658,536,294,129,165,0,0,1,120,30,420031306002
121,1500000US420031306003,42,3,130600,3,40.453767,-79.871817,1423,897,480,417,0,0,1,121,30,420031306003
122,1500000US420031401001,42,3,140100,1,40.444239,-79.935387,982,310,39,271,0,0,1,122,30,420031401001
123,1500000US420031401002,42,3,140100,2,40.441301,-79.93494,2223,493,51,442,0,0,1,123,30,420031401002
124,1500000US420031401003,42,3,140100,3,40.442762,-79.943244,287,0,0,0,0,0,1,124,30,420031401003
125,1500000US420031401004,42,3,140100,4,40.446079,-79.942615,1960,106,17,89,0,0,1,125,30,420031401004
126,1500000US420031402001,42,3,140200,1,40.449091,-79.923553,1013,330,18,312,0,0,1,126,30,420031402001
127,1500000US420031402002,42,3,140200,2,40.447287,-79.930222,1469,695,149,546,0,0,1,127,30,420031402002
128,1500000US420031403001,42,3,140300,1,40.444299,-79.914292,811,345,23,322,0,0,1,128,30,420031403001
129,1500000US420031403002,42,3,140300,2,40.440445,-79.916698,1047,477,114,363,0,0,1,129,30,420031403002
130,1500000US420031403003,42,3,140300,3,40.439824,-79.923604,964,359,42,317,0,0,1,130,30,420031403003
131,1500000US420031403004,42,3,140300,4,40.442561,-79.923913,749,307,11,296,0,0,1,131,30,420031403004
132,1500000US420031404001,42,3,140400,1,40.451425,-79.912298,740,334,25,309,0,0,1,132,30,420031404001
133,1500000US420031404002,42,3,140400,2,40.44729,-79.91462,605,240,19,221,0,0,1,133,30,420031404002
134,1500000US420031404003,42,3,140400,3,40.447977,-79.918231,976,414,6,408,0,0,1,134,30,420031404003
135,1500000US420031405001,42,3,140500,1,40.450224,-79.899762,591,329,108,221,0,0,1,135,30,420031405001
136,1500000US420031405002,42,3,140500,2,40.454379,-79.907296,400,192,0,192,0,0,1,136,30,420031405002
137,1500000US420031405003,42,3,140500,3,40.452581,-79.90778,823,462,18,444,0,0,1,137,30,420031405003
138,1500000US420031406001,42,3,140600,1,40.447727,-79.906581,1321,612,43,569,0,0,1,138,30,420031406001
139,1500000US420031406002,42,3,140600,2,40.444861,-79.898273,970,404,22,382,0,0,1,139,30,420031406002
140,1500000US420031406003,42,3,140600,3,40.442698,-79.895518,867,440,93,347,0,0,1,140,30,420031406003
141,1500000US420031408001,42,3,140800,1,40.431975,-79.914583,1952,744,47,697,0,0,1,141,30,420031408001
142,1500000US420031408002,42,3,140800,2,40.435247,-79.919607,1761,791,203,588,0,0,1,142,30,420031408002
143,1500000US420031408003,42,3,140800,3,40.430966,-79.921249,831,421,174,247,0,0,1,143,30,420031408003
144,1500000US420031410001,42,3,141000,1,40.434131,-79.896823,916,436,22,414,0,0,1,144,30,420031410001
145,1500000US420031411001,42,3,141100,1,40.421319,-79.902982,1309,614,46,568,0,0,1,145,30,420031411001
146,1500000US420031413001,42,3,141300,1,40.435947,-79.928054,1387,641,266,375,0,0,1,146,30,420031413001
